,Reference,Test,BandwidthRefB,BandwidthTestB,TotalNMRB,WinModDiff1B,ADBB,EHSB,AvgModDiff1B,AvgModDiff2B,RmsNoiseLoudB,MFPDB,RelDistFramesB,ODG,TFM,ISR,SIR,SAR,SDR,qTarget,qInterf,qArtif,qGlobal,OPS,TPS,IPS,APS
0,PQevalAudio-v1r0/PQevalAudio/audios_48k/pad.wav,PQevalAudio-v1r0/PQevalAudio/audios_48k/A_Fuzzy_tonal.wav,479.71157495256165,479.707779886148,-6.803512762247127,18.252094225205777,2.2656696533744722,2.414538155419397,17.077613211418328,36.44443991392358,0.7188052562457613,0.9999999999999994,0.743006993006993,-3.230220212489459,44.844997605783625,7.481155910269182,inf,16.99337799280976,7.145594349695377,0.9775671640140212,1.0,0.9820934748203414,0.9640332518818577,70.9319324062023,93.22853277505587,65.32532595343362,64.7747049192144
0,PQevalAudio-v1r0/PQevalAudio/audios_48k/pad.wav,PQevalAudio-v1r0/PQevalAudio/audios_48k/A_MCA_tonal.wav,460.037296037296,460.02097902097904,1.0839534475281642,16.741622117566923,1.8303935884758844,1.1527601846253956,11.95881388143345,31.069026741740295,1.4848586315633918,0.9998389125692022,0.30244755244755245,-3.699985346381044,59.670353270437026,15.95986046547747,inf,19.47463209392297,13.881064701120511,0.991096448707793,1.0,0.9911839237507636,0.9846850705235423,87.4208225349048,92.98573738629263,88.53428586766364,84.56152713514074
0,PQevalAudio-v1r0/PQevalAudio/audios_48k/pad.wav,PQevalAudio-v1r0/PQevalAudio/audios_48k/A_MCA_Fuzzy_tonal.wav,490.4745454545455,490.4709090909091,-5.891757338487348,15.535550218991867,2.3034916507966705,2.0827206921589916,14.911280946512303,25.218196841780124,0.7782242540770082,0.9999999999999994,0.9353146853146853,-3.0567238478622256,45.030995910602556,6.896240894942655,inf,16.164767380690513,6.553923795294798,0.9728476865477014,1.0,0.9825666112995325,0.9582448232224376,65.29863552803438,94.5535433227629,60.890911737246675,64.10445220424641
0,PQevalAudio-v1r0/PQevalAudio/audios_48k/pad.wav,PQevalAudio-v1r0/PQevalAudio/audios_48k/B_fuzzy_tonal.wav,512.2737030411449,512.2683363148479,-3.0719367963991857,25.318621238311486,2.2720473156567427,6.711913245490993,25.61403337624678,39.43386993740577,1.0753494911757218,0.9999999999999994,1.0,-3.048333431886348,40.6574825452568,-0.8777652654619919,inf,16.744978459819606,-0.9017592974859598,0.777545984866349,1.0,0.9821829350422787,0.777959296230595,27.407617602515842,93.76537667253226,22.942522548027338,7.427203848987178
0,PQevalAudio-v1r0/PQevalAudio/audios_48k/pad.wav,PQevalAudio-v1r0/PQevalAudio/audios_48k/B_MCA_tonal.wav,463.07053941908714,463.0622406639004,-11.28167050238696,10.437302644802145,1.7409917832800101,1.1866440843170096,7.965626188011444,15.85673678612454,0.5112721942166613,0.9998709929921824,0.19055944055944055,-2.136702526016111,64.81231478351609,12.868912955501317,inf,17.513152143421852,11.303815419241117,0.9964409097688535,1.0,0.9966836612792108,0.9939166681754048,98.89676448037247,92.76792122190061,96.80621914849259,86.73836752142613
0,PQevalAudio-v1r0/PQevalAudio/audios_48k/pad.wav,PQevalAudio-v1r0/PQevalAudio/audios_48k/B_MCA_fuzzy_tonal.wav,511.04651162790697,511.01431127012523,-2.970575342971142,23.417723950538818,2.3294033761346236,6.75018460696808,23.405622361166138,32.513311037030135,1.0746618740871983,0.9999999999999994,1.0,-2.992586143668119,40.03249881869844,-0.6701146479290301,inf,15.679064664725164,-0.7173074209586289,0.7955905619960834,1.0,0.9846493579831229,0.7980844606760539,25.046325987868244,96.85197877790498,21.14188382720471,7.642772149776429
0,PQevalAudio-v1r0/PQevalAudio/audios_48k/metronome_78BPM.wav,PQevalAudio-v1r0/PQevalAudio/audios_48k/A_fuzzy_transient.wav,853.6666666666666,853.6349206349206,23.357820166620975,57.58278032754363,2.5417338374653715,0.022199144911038887,37.642717073141576,2465.703610722508,2.866459752926492,0.9999999999999994,1.0,-3.9121176671511004,29.291708713160638,14.60142322572638,inf,13.606425058864778,11.762763869794908,0.9993558792597921,1.0,0.21339663786671845,0.29897671614521765,97.87900245729234,21.205730652784226,98.76103883415493,4.3518869361732416e-14
0,PQevalAudio-v1r0/PQevalAudio/audios_48k/metronome_78BPM.wav,PQevalAudio-v1r0/PQevalAudio/audios_48k/A_MCA_transient.wav,820.8730158730159,820.8730158730159,27.128573739966647,96.62767665154404,2.807879391119224,0.6298755122429346,64.36506717269141,3260.4180577630686,6.867082891357268,0.9999704873345693,0.8471454880294659,-3.913155195387103,17.00119830980819,-4.962668096435367,inf,8.759913546791129,-5.158447571540179,0.9965947106815002,1.0,0.20436513218744984,0.22768149688533024,98.46695194626221,21.11672796507678,99.0167681216062,3.0248740620172e-14
0,PQevalAudio-v1r0/PQevalAudio/audios_48k/metronome_78BPM.wav,PQevalAudio-v1r0/PQevalAudio/audios_48k/A_MCA_Fuzzy_transient.wav,851.047619047619,851.047619047619,23.980509472721735,91.61440355192794,2.7023734502898304,0.9095066774325417,54.11331969387075,2257.628388229234,6.531952013172415,0.9990149097103911,0.5966850828729282,-3.912976687322732,21.365659817924552,-4.250084042423676,inf,9.968098708191574,-4.37392373881552,0.9866029444111746,1.0,0.3799814592704959,0.3229608468344948,88.2628576371008,12.608274009527703,98.23125834193792,6.034638892940309e-10
0,PQevalAudio-v1r0/PQevalAudio/audios_48k/metronome_78BPM_less_beats.wav,PQevalAudio-v1r0/PQevalAudio/audios_48k/B_fuzzy_transient.wav,887.5897435897435,887.3846153846154,23.6164621822738,67.4146185464554,2.635335573915019,0.20815711824653355,67.57372797915146,3349.9342852962895,2.5088088879975365,0.9999999999999994,1.0,-3.9131472901268762,21.294161139706375,-0.4992410307290049,inf,-7.542407892024184,-2.204875502337651,0.9993140436543717,1.0,0.2318650574383834,0.28701663444167874,97.50573728465322,21.39025559689906,98.77189946468356,9.130466920498242e-14
